Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : window, 		Predicted : window, 		Log of likelihood : -56.23
Expected : window, 		Predicted : window, 		Log of likelihood : -56.24
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.24
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.60
Expected : window, 		Predicted : window, 		Log of likelihood : -70.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.68
Expected : window, 		Predicted : window, 		Log of likelihood : -58.70
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -71.41
Expected : brickface, 		Predicted : path, 		Log of likelihood : -60.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.43
Expected : window, 		Predicted : window, 		Log of likelihood : -58.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.38
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -70.06
Expected : window, 		Predicted : window, 		Log of likelihood : -56.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.77
Expected : brickface, 		Predicted : window, 		Log of likelihood : -65.49
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.80
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.05
Expected : window, 		Predicted : window, 		Log of likelihood : -57.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.41
Expected : window, 		Predicted : window, 		Log of likelihood : -54.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.72
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.75
Expected : window, 		Predicted : window, 		Log of likelihood : -56.78
Expected : window, 		Predicted : window, 		Log of likelihood : -56.84
Expected : window, 		Predicted : window, 		Log of likelihood : -63.07
Expected : path, 		Predicted : path, 		Log of likelihood : -58.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.21
Expected : window, 		Predicted : window, 		Log of likelihood : -55.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.89
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.53
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.32
Expected : path, 		Predicted : path, 		Log of likelihood : -59.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.87
Expected : window, 		Predicted : window, 		Log of likelihood : -56.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.30
Expected : window, 		Predicted : window, 		Log of likelihood : -55.59
Expected : window, 		Predicted : window, 		Log of likelihood : -59.02
Expected : window, 		Predicted : window, 		Log of likelihood : -60.96
Expected : window, 		Predicted : window, 		Log of likelihood : -55.91
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.73
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -57.34
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.99
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.91
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.85
Expected : window, 		Predicted : window, 		Log of likelihood : -56.54
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -68.66
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.94
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.59
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.02
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.90
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.87
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.74
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.58
Expected : window, 		Predicted : window, 		Log of likelihood : -54.81
Expected : window, 		Predicted : brickface, 		Log of likelihood : -56.01
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.53
Expected : window, 		Predicted : window, 		Log of likelihood : -59.36
Expected : window, 		Predicted : window, 		Log of likelihood : -65.73
Expected : window, 		Predicted : window, 		Log of likelihood : -58.31
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.89
Expected : path, 		Predicted : path, 		Log of likelihood : -58.30
Expected : window, 		Predicted : window, 		Log of likelihood : -57.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.47
Expected : window, 		Predicted : window, 		Log of likelihood : -56.78
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.83
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.96
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.85
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.11
Expected : path, 		Predicted : path, 		Log of likelihood : -64.31
Expected : window, 		Predicted : window, 		Log of likelihood : -65.82
Expected : window, 		Predicted : window, 		Log of likelihood : -56.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.49
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.51
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.00
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.19
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.72
Expected : window, 		Predicted : window, 		Log of likelihood : -59.77
Expected : window, 		Predicted : window, 		Log of likelihood : -54.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.65
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.84
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.55
Expected : window, 		Predicted : window, 		Log of likelihood : -55.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.82
Expected : path, 		Predicted : path, 		Log of likelihood : -57.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.52
Expected : window, 		Predicted : window, 		Log of likelihood : -56.61
Expected : window, 		Predicted : window, 		Log of likelihood : -56.23
Expected : window, 		Predicted : window, 		Log of likelihood : -56.24
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.24
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.60
Expected : window, 		Predicted : window, 		Log of likelihood : -70.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.68
Expected : window, 		Predicted : window, 		Log of likelihood : -58.70
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -71.41
Expected : brickface, 		Predicted : path, 		Log of likelihood : -60.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.43
Expected : window, 		Predicted : window, 		Log of likelihood : -58.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.38
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -70.06
Expected : window, 		Predicted : window, 		Log of likelihood : -56.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.77
Expected : brickface, 		Predicted : window, 		Log of likelihood : -65.49
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.80
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.05
Expected : window, 		Predicted : window, 		Log of likelihood : -57.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.41
Expected : window, 		Predicted : window, 		Log of likelihood : -54.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.72
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.75
Expected : window, 		Predicted : window, 		Log of likelihood : -56.78
Expected : window, 		Predicted : window, 		Log of likelihood : -56.84
Expected : window, 		Predicted : window, 		Log of likelihood : -63.07
Expected : path, 		Predicted : path, 		Log of likelihood : -58.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.21
Expected : window, 		Predicted : window, 		Log of likelihood : -55.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.89
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.53
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.32
Expected : path, 		Predicted : path, 		Log of likelihood : -59.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.87
Expected : window, 		Predicted : window, 		Log of likelihood : -56.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.30
Expected : window, 		Predicted : window, 		Log of likelihood : -55.59
Expected : window, 		Predicted : window, 		Log of likelihood : -59.02
Expected : window, 		Predicted : window, 		Log of likelihood : -60.96
Expected : window, 		Predicted : window, 		Log of likelihood : -55.91
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.73
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -57.34
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.99
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.91
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.85
Expected : window, 		Predicted : window, 		Log of likelihood : -56.54
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -68.66
Expected : brickface, 		Predicted : path, 		Log of likelihood : -54.94
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.59
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.02
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.90
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.87
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.74
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.58
Expected : window, 		Predicted : window, 		Log of likelihood : -54.81
Expected : window, 		Predicted : brickface, 		Log of likelihood : -56.01
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.53
Expected : window, 		Predicted : window, 		Log of likelihood : -59.36
Expected : window, 		Predicted : window, 		Log of likelihood : -65.73
Expected : window, 		Predicted : window, 		Log of likelihood : -58.31
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.89
Expected : path, 		Predicted : path, 		Log of likelihood : -58.30
Expected : window, 		Predicted : window, 		Log of likelihood : -57.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.47
Expected : window, 		Predicted : window, 		Log of likelihood : -56.78
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.83
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.96
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.85
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.11
Expected : path, 		Predicted : path, 		Log of likelihood : -64.31
Expected : window, 		Predicted : window, 		Log of likelihood : -65.82
Expected : window, 		Predicted : window, 		Log of likelihood : -56.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.49
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.51
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.00
